training_step,elapsed_seconds,mean_return,std_return,mean_loss,mean_eval_fitness,std_eval_fitness,mean_episode_length
2000,2160.29,-1.355532,0.049399,0.009851,2.086470e+01,8.170866e-02,8.5000
4000,4140.16,-1.357066,0.050858,0.011798,2.087082e+01,6.321834e-02,8.8800
6000,6105.95,-1.361922,0.054448,0.017529,2.094316e+01,4.052210e-02,9.0905
8000,8159.18,-1.351500,0.048976,0.018890,2.094880e+01,2.558143e-02,8.9196
10000,10702.75,-1.350213,0.048647,0.009305,2.092795e+01,2.913577e-02,9.0682
12000,12514.62,-1.360929,0.056720,0.004135,2.094043e+01,5.463155e-02,10.0754
14000,14185.57,-1.373656,0.061601,0.002523,2.092047e+01,5.315053e-02,10.8962
16000,15764.80,-1.369755,0.056471,0.001795,2.086685e+01,9.911207e-02,11.5954
18000,17242.81,-1.385514,0.067282,0.001489,2.093352e+01,5.426660e-02,12.5597
20000,18650.50,-1.383554,0.064875,0.001221,2.092084e+01,5.750848e-02,13.4295
22000,20568.36,-1.386315,0.069147,0.001026,2.091464e+01,4.764710e-02,14.0634
24000,21878.39,-1.390760,0.073948,0.000798,2.091440e+01,4.452337e-02,14.5985
26000,23132.67,-1.398040,0.070385,0.000650,2.088022e+01,5.035545e-02,15.9360
28000,24310.91,-1.405946,0.075740,0.000443,2.090750e+01,7.231994e-02,17.2672
30000,25385.78,-1.402359,0.070358,0.000378,2.092297e+01,4.455241e-02,19.2692
32000,26480.92,-1.412501,0.069461,0.000240,2.091323e+01,4.665366e-02,18.5556
34000,27441.27,-1.419487,0.075265,0.000181,2.090939e+01,5.858351e-02,22.1222
36000,28357.81,-1.431168,0.066918,0.000181,2.093063e+01,5.914096e-02,23.6235
38000,29214.28,-1.437737,0.088121,0.000174,2.094405e+01,5.824374e-02,26.3289
40000,30548.37,-1.446721,0.093340,0.000156,2.092128e+01,2.351069e-02,30.3077
42000,31288.11,-1.456852,0.108741,0.000160,2.094845e+01,5.057504e-02,32.8852
44000,32027.88,-1.467455,0.096199,0.000161,2.095279e+01,4.304286e-02,32.6613
46000,32815.18,-1.434865,0.083919,0.000158,2.092555e+01,5.452507e-02,28.7971
48000,33705.19,-1.372574,0.064546,0.000160,2.093561e+01,4.799511e-02,23.4235
50000,34679.67,-1.386395,0.067431,0.000154,2.094279e+01,3.626661e-02,20.6495
52000,35685.96,-1.363236,0.066446,0.000161,2.094198e+01,3.337518e-02,20.0198
54000,36709.64,-1.369664,0.061263,0.000157,2.089429e+01,6.621171e-02,20.6875
56000,37876.53,-1.358257,0.056053,0.000154,2.089375e+01,4.131854e-02,19.7822
58000,39123.60,-1.363775,0.058186,0.000145,2.092626e+01,5.852040e-02,18.3394
60000,40230.15,-1.377079,0.066920,0.000148,2.091654e+01,7.451513e-02,22.2000
62000,41874.57,-1.368758,0.061712,0.000138,2.093682e+01,2.725780e-02,18.7547
64000,43143.28,-1.357854,0.056059,0.000130,2.091245e+01,4.866256e-02,16.4878
66000,44393.76,-1.366299,0.057801,0.000138,2.090497e+01,5.146199e-02,16.6417
68000,45553.58,-1.364812,0.062888,0.000140,2.093893e+01,2.707377e-02,18.5327
70000,46821.75,-1.357146,0.057548,0.000138,2.092223e+01,3.848454e-02,16.7750
72000,48113.38,-1.357979,0.057270,0.000133,2.095561e+01,3.735484e-02,15.9206
74000,49342.25,-1.371044,0.077580,0.000136,2.092449e+01,4.681411e-02,16.7983
76000,50401.09,-1.385561,0.083775,0.000127,2.086624e+01,5.309686e-02,20.6598
78000,51515.61,-1.377113,0.066365,0.000134,2.092239e+01,2.601376e-02,19.4078
